height,mpluto_bbl,cnstrct_yr,globalid,bin,shape_len,shape_area,office_area,retail_area,residential_area,OBJECTID,street_width_min,street_width_max,posted_speed,betweeness,station_complex_id,ridership_evening,ridership_late_night,ridership_midday,ridership_morning,ridership_night,distance_from_station(ft),idw_aadt_2019,idw_aadt_2020,idw_aadt_2021,idw_atvc_2018,idw_atvc_2019,idw_atvc_2020,idw_aadt_mean,idw_atvc_mean,office_within_450ft,retail_within_450ft,residential_within_450ft,distance_to_park,distance_to_school,food_100,food_400,food_800,food_1000
51.5,1004460006,1841,{511D49AD-7290-481E-8FB7-ADE71A1A2720},1006203,0.0,636520502.758,0,1000,3812,97726,56.0,56.0,25,0.05358023974690158,232,398.34694708682997,106.51487578454707,390.86391165431326,223.0711261522078,304.25304679406395,1137.1449098718206,9204.237895260547,9191.856904801587,10290.928269650778,120.52384119788627,138.97365040216573,327.42075364335784,9562.34102323764,195.6394150811366,3000,38220,211324,843.7514036989153,340.8661456967228,21,140,430,642
54.77,1003910014,1910,{3AB16566-3A81-4945-8E14-068AC3037F03},1082474,0.0,636520502.758,0,1000,7250,102830,,,20,0.001627138834741174,119,573.6970610200848,86.05892825189177,575.9585587416376,354.75052665599355,336.01256560402453,1928.336766692473,7506.168198042348,7059.679209076463,7908.354285411843,111.82495313997846,125.99367430846081,334.82962271715843,7491.4005641768845,190.88275005519924,0,34700,278550,52.21616874741969,708.3414561833706,1,56,223,344
49.4,1004990006,1881,{A789A603-C23D-455D-9750-8B03DEDA8943},1007604,0.0,636520502.758,157224,20550,10497,93295,24.0,26.0,25,0.003817983481377591,17,465.40646615673097,42.88692632969192,336.2829315045613,51.61581229641698,161.71620623754157,492.1565069255644,6593.2632171618725,6741.36581615246,7541.527685269468,124.6729338785914,148.08780492978843,329.9449674143247,6958.7189061946,200.90190207423484,489937,195251,331992,790.2788602002214,1362.6515532146148,2,87,383,606
52.53,1000290025,1836,{6C36FA41-2018-4F04-B7CD-8EB3FFD71760},1078964,0.0,636520502.758,0,5070,3590,99051,60.0,60.0,25,0.01133203884949472,107,221.986811226293,18.56741634013313,146.73203579400078,33.13548282206948,55.484180519344974,827.741997209104,6782.298640427193,6900.415215376327,7765.349773190095,111.39138708079318,154.7977793185009,368.8266581469039,7149.354542997872,211.67194151539934,1008786,180029,1389096,261.8177943961498,281.67879632638153,19,80,171,187
46.85,1005880066,1854,{596D6073-AC07-489B-86CC-A287EE9E6918},1010047,0.0,636520502.758,0,537,1611,98588,20.0,20.0,25,0.00727516700212946,323,272.02858287712195,83.75905145410314,266.12425960357245,130.30770172578661,222.06077937184878,369.19452753453066,6869.689329171716,6611.618321133527,7455.921600338287,119.17038681487294,146.90629164897803,307.4906538210385,6979.076416881177,191.18911076162985,2038,46864,216783,454.9157732024702,499.1427545233465,15,122,301,401
60.23,1012710060,1930,{9C4B930A-8EEF-4351-93FB-A98406ADE269},1034846,0.0,636520502.758,0,4600,5900,97522,60.0,60.0,25,0.0030309052966312235,224,447.2514851704344,41.44721754992804,294.60367673292853,62.20078373591029,168.72779056620996,429.2159817763321,9921.487058426323,9851.665267620703,11073.970359166244,138.95678116562368,186.5052213890038,211.19247062352815,10282.374228404424,178.88482439271854,1784868,78504,334511,786.3150934872414,2604.268440836974,16,84,382,562
43.0,1020730061,1910,{7C3B0F27-AD51-4E76-90C2-0B0C9A3AA5BD},1061825,0.0,636520502.758,0,1400,4200,95060,40.0,40.0,25,0.012248531244436532,304,155.82675688062074,42.46860906923661,260.61345500956094,225.7385198848317,61.026237112885866,883.7428191698095,15443.508707604737,17072.643351127448,19123.16638018616,93.98358448457229,147.13848707547317,288.6699265930401,17213.106146306116,176.5973327176952,0,13686,146114,68.12350519813558,1348.2675460097987,5,21,44,49
52.59,1013460101,1910,{CA4A493E-014E-4724-8ECA-E47155965A57},1039847,0.0,636520502.758,1425,2340,2025,92666,32.0,32.0,25,0.0068364393274140565,612,1625.4859604328765,98.03325028221971,1074.6586789215937,341.6066464700863,460.1673896313136,740.0560847350649,12349.523924524892,12174.253289390464,13568.353727373185,144.94948822631295,196.32577067085282,241.87978400899303,12697.376980429515,194.38501430205292,49291,92169,681186,368.48532944601465,899.8401802429023,8,78,253,372
75.0,1002847502,1928,{8B4B492D-1ED7-4211-8BD4-C908FB3D766D},1003656,0.0,636520502.758,0,3820,40690,94881,30.0,30.0,25,0.005234730344379467,234,379.54068802087295,44.7208756204123,408.8965039116733,233.52235053367033,177.37709928224135,223.0162009856229,7419.231621982118,7632.079357684728,8609.454282807266,109.15133895935357,139.12465855463472,352.69551664359614,7886.921754158037,200.32383805252812,5341,31827,203054,88.53387687994041,645.5841471169377,4,56,253,361
52.85848411,1004770066,1914,{6A9817B0-FE64-4036-B1C8-990512120471},1007122,0.0,636520502.758,6891,0,0,104452,60.0,60.0,25,0.05365435561788998,325,172.77833306576875,24.442497453817307,122.38131089857953,42.1491077302977,61.01336041201794,455.8957791402689,10122.478060567086,10795.746218704635,12056.637063717166,138.52534014728886,161.6947955133136,328.7864425718481,10991.620447662963,209.66885941081685,218402,18928,30192,294.0987587221796,68.60963529150223,5,68,286,437
56.54,1001420025,1975,{0C80B395-20F4-4772-ACAF-A2EE5044EF59},1083240,0.0,636520502.758,0,28866,1711870,109930,44.0,45.0,30,0.028424497428705005,327,523.7400568541614,26.509325706524756,399.2228025597589,140.77744001307946,158.49079559585132,1074.1409419147449,8978.56325559884,8997.069477380688,10105.415107332168,108.43604870199005,187.28774233869274,339.18865100330873,9360.349280103897,211.63748068133052,32489,162216,8624215,273.8826620843377,430.7888044069685,4,36,124,210
112.34,1002310026,1882,{3EC20671-7AAC-40D0-8511-60C797C8C578},1003017,0.0,636520502.758,55731,8423,0,93951,26.0,26.0,25,0.006752895953456964,623,1404.6832401392203,87.59943460824753,1091.7024125635296,204.58741906319807,552.7090258655517,594.6794701785827,6665.760550385049,6665.687293677761,7475.514791002522,105.42982172684815,153.63267571046282,338.74019487386704,6935.654211688444,199.26756410372602,130439,100377,218626,545.1982250317019,1147.127279580527,5,90,360,525
