name,place_id,price_level,rating,user_ratings_total,business_status,adr_address,formatted_address,lat,lng,bin,distance
Tiptara : Thai Food,ChIJl0gchkBbwokRL_R83q_7a0o,2.0,4.8,138,OPERATIONAL,,"213 E Broadway, New York, NY 10002",40.7141619,-73.9875679,1003698,0.9644868882638135
Ginger and Lemongrass,ChIJaXu7poFZwokR4Yv0pNDek3s,2.0,4.5,533,OPERATIONAL,,"153 Rivington St, New York, NY 10002",40.7191796,-73.985635,1004173,0.0
Joe's Shanghai,ChIJ2XIY-CZawokRokUjxBSl5hw,1.0,4.3,5317,OPERATIONAL,,"46 Bowery, New York, NY 10013",40.7156656,-73.99669879999999,1002430,0.0
Forever Taste,ChIJXbqtaSlawokRbAFobgotC_k,1.0,4.4,141,OPERATIONAL,,"27 Rutgers St, New York, NY 10002",40.7130587,-73.9899698,1003245,0.0
Famous Sichuan,ChIJMf7bVSZawokR_ArheIEhY48,2.0,3.9,514,OPERATIONAL,,"10 Pell St, New York, NY 10013",40.7148544,-73.9976092,1001776,0.0
El Castillo De Madison,ChIJo7LTZylawokR0HBJAe05GOU,1.0,4.0,331,OPERATIONAL,,"207 Madison St, New York, NY 10002",40.7128173,-73.98950719999999,1003225,0.0
Grotta Azzurra Restaurant,ChIJB02L8IhZwokRNKoKx90wmik,2.0,4.2,1376,OPERATIONAL,,"177 Mulberry St, New York, NY 10013",40.7203092,-73.99702429999999,1006963,0.0
Wu's Wonton King,ChIJT5GkdilawokRy9yB3jEG_3Q,1.0,4.2,1369,OPERATIONAL,,"165 E Broadway, New York, NY 10002",40.7138317,-73.989964,1003627,0.0
Holy Cow,ChIJq6pmp6hZwokRVVybYtzIWr4,2.0,4.4,645,OPERATIONAL,,"34 Canal St, New York, NY 10002",40.7144105,-73.9906865,1003601,0.0
Cibao,ChIJGarru4FZwokRhCrFKKyvH5s,1.0,4.1,456,OPERATIONAL,,"72 Clinton St, New York, NY 10002",40.7191943,-73.9848645,1004125,0.0
Kings Kitchen,ChIJG08ekihawokRIejgF_clyrU,1.0,3.8,422,OPERATIONAL,,"92 E Broadway, New York, NY 10002",40.7138975,-73.99367269999999,1003545,0.0
May May Kitchen,ChIJpU73aypawokRZMDe5styhCw,1.0,3.7,134,OPERATIONAL,,"181 Clinton St, New York, NY 10002",40.7155492,-73.98724589999999,1077606,0.0
Food King,ChIJrSdMUC9awokRZHbi5VYKnFU,,4.1,95,OPERATIONAL,,"56 Market St, New York, NY 10002",40.7117338,-73.9940627,1003277,0.0
Cervo's,ChIJp_UkrilawokRtDAS5sls7jo,3.0,4.5,387,OPERATIONAL,,"43 Canal St, New York, NY 10002",40.7148624,-73.99134459999999,1003857,0.0
Forgtmenot,ChIJiZfNVyhawokR8FNwkLV0FQQ,2.0,4.6,561,OPERATIONAL,,"138 Division St, New York, NY 10002",40.714555,-73.9915134,1003805,0.0
Hong Man,ChIJeQbdQLJbwokRRAXtLOClbNg,,2.4,7,OPERATIONAL,,"27 Eldridge St E, New York, NY 10002",40.7151388,-73.9936314,1088640,6.161424506132272
Casino,ChIJM_QQQL5bwokRMo0UoSSL4Yg,,4.0,117,OPERATIONAL,,"171 E Broadway, New York, NY 10002",40.713982,-73.9897064,1003624,0.0
Dimes,ChIJg1zmpilawokR1tvpSF6PWS8,2.0,4.2,632,OPERATIONAL,,"49 Canal St, New York, NY 10002",40.7149309,-73.9915742,1003860,0.0
Kopitiam,ChIJCSo-rSlawokRXSVW0IKZ3vQ,1.0,4.3,1286,OPERATIONAL,,"151 E Broadway, New York, NY 10002",40.7138484,-73.9909298,1003569,0.0
North Dumpling,ChIJib907ylawokRR9VRduNlws0,1.0,4.6,669,OPERATIONAL,,"27A Essex St, New York, NY 10002",40.7158315,-73.9897852,1004045,0.0
Eastwood,ChIJO_DTSCpawokR8ueqrPAl8QI,2.0,4.4,309,OPERATIONAL,,"200 Clinton St, New York, NY 10002",40.7141536,-73.98706779999999,1003735,0.0
Song Bo Yuan,ChIJN31VqNhbwokRL3_vEB2lC8o,1.0,3.4,23,OPERATIONAL,,"36 Eldridge St, New York, NY 10002",40.7156197,-73.993157,1079649,0.0
May Kaidee,ChIJs7mMBNhbwokRryRN1bPerR4,2.0,4.5,282,OPERATIONAL,,"215 E Broadway, New York, NY 10002",40.7141688,-73.9874846,1003697,0.9850652032116989
Changle Xin Fan Zhuang,ChIJ6f5ZQChawokRIDZnzWAWsgo,2.0,4.1,18,OPERATIONAL,,"36 Eldridge St, New York, NY 10002",40.715659,-73.9931455,1079649,0.0
East Broadway,ChIJ-T0jkihawokR4Mo4f393mAs,,3.5,62,OPERATIONAL,,"94b E Broadway, New York, NY 10002",40.7139017,-73.9936159,1003546,0.0
Subway,ChIJaa_WTipawokRiujcBPuAvx4,1.0,3.7,66,OPERATIONAL,,"221 E Broadway Store #1, New York, NY 10002",40.7141144,-73.9869863,1003735,0.0
El Cabron Taqueria,ChIJAZ2eUZtbwokRuRJIUC33LCw,,4.4,91,OPERATIONAL,,"26 Essex St, New York, NY 10002",40.7155282,-73.9899406,1078949,0.0
Shabushabu Mayumon,ChIJ3UyOrd1bwokRNqcXgYK8ALA,,4.7,114,OPERATIONAL,,"115 Division St, New York, NY 10002",40.7142375,-73.9920557,1003610,0.0
