bin,year,idw_atvc
1061423,2018,90.90651791146502
1061423,2019,145.69689150272976
1061423,2020,285.28416401983947
1009284,2018,127.63577269595312
1009284,2019,131.18716812226546
1009284,2020,305.7694482256654
1030507,2018,129.7821661987433
1030507,2019,157.74080164683062
1030507,2020,246.7878809154689
1089243,2018,116.03563169100572
1089243,2019,156.20419564009038
1089243,2020,384.60645069459804
1043514,2018,159.2252005486201
1043514,2019,193.98095891870813
1043514,2020,230.34255091270745
1083601,2018,134.49759293379586
1083601,2019,165.67058051394892
1083601,2020,276.4971964044326
1030841,2018,126.7752033434634
1030841,2019,144.3482972542322
1030841,2020,245.52196516871726
1087864,2018,123.09201976295212
1087864,2019,155.36582859316263
1087864,2020,218.04180401139885
1043845,2018,154.74543358877386
1043845,2019,185.90381155391734
1043845,2020,236.84137802153668
1009720,2018,129.68658923297943
1009720,2019,142.25682038701345
1009720,2020,300.91531982344475
1046009,2018,125.07292930669105
1046009,2019,173.2147767465725
1046009,2020,254.70330010243143
1015225,2018,137.5798674599034
1015225,2019,184.52472613614225
1015225,2020,260.9295345083193
1034507,2018,142.10112009722863
1034507,2019,194.95995894513374
1034507,2020,233.32400332760162
1030280,2018,130.2882592762295
1030280,2019,161.13258233680025
1030280,2020,246.1754920780339
1016207,2018,134.39469488715025
1016207,2019,153.91388570150121
1016207,2020,290.8412582574978
1064175,2018,129.85417297313316
1064175,2019,158.0898155998817
1064175,2020,314.1495330948727
1048323,2018,128.6410389455036
1048323,2019,157.47121436572112
1048323,2020,262.9975076974874
1060187,2018,110.17847816508251
1060187,2019,156.39450131024543
1060187,2020,249.73898608557928
1036916,2018,155.9934177541422
1036916,2019,191.11402893396172
1036916,2020,204.7154455330286
1018159,2018,135.17014487463044
1018159,2019,172.1322429390773
1018159,2020,280.6949457443698
1082441,2018,151.11645532624235
1082441,2019,154.468328763927
1082441,2020,256.46560725896194
1001967,2018,117.8227742039841
1001967,2019,186.09378444419312
1001967,2020,345.3656060884202
1001415,2018,107.85378112057154
1001415,2019,164.7666550768152
1001415,2020,350.25322306004824
1088168,2018,117.4520598689698
1088168,2019,141.02181307089927
1088168,2020,276.9251824457222
1000045,2018,91.90327628616593
1000045,2019,127.3939327214194
1000045,2020,358.51037797174644
1085255,2018,109.87495303613814
1085255,2019,143.51019206452384
1085255,2020,283.5298976918405
1085297,2018,121.40886738352901
1085297,2019,162.98593701992036
1085297,2020,245.35515829574976
1022689,2018,141.74288265581333
1022689,2019,192.71390866064408
1022689,2020,231.94516748151062
1063031,2018,119.9580246797326
1063031,2019,144.8710221521962
1063031,2020,361.7339334527127
1044375,2018,158.64889434995084
1044375,2019,197.70713967058086
1044375,2020,249.21589953295762
1035477,2018,141.56619531914814
1035477,2019,191.01557407677663
1035477,2020,225.10526878724406
1048461,2018,129.09209738231118
1048461,2019,153.46267927883633
1048461,2020,266.78329203196154
1080954,2018,144.24983080819868
1080954,2019,182.39414237418495
1080954,2020,206.38896507712076
1080815,2018,104.43396838325181
1080815,2019,156.11523422658425
1080815,2020,349.9999731973259
1043944,2018,142.28500286052991
1043944,2019,170.2338131624399
1043944,2020,243.61113405425127
1052011,2018,119.70997028719536
1052011,2019,150.00115314175426
1052011,2020,280.3357377492371
1005321,2018,93.9202984939347
1005321,2019,126.93203444713102
1005321,2020,347.76529550181715
1062307,2018,98.41394226448811
1062307,2019,147.56860572186406
1062307,2020,288.7232055549035
1001327,2018,132.88408079337754
1001327,2019,168.7854623204826
1001327,2020,423.1818709324326
1020392,2018,130.28751032008972
1020392,2019,148.87386238576846
1020392,2020,309.9244128218241
1064490,2018,133.78535566269602
1064490,2019,160.52287837398305
1064490,2020,301.59438360732247
1013874,2018,134.85474730135005
1013874,2019,151.72763008949855
1013874,2020,287.53682975683034
1015463,2018,133.41067289625198
1015463,2019,149.2124815534032
1015463,2020,289.1198084670966
1019790,2018,125.46352855688775
1019790,2019,183.9016704079917
1019790,2020,289.16789533056186
1001573,2018,97.8586289634798
1001573,2019,140.710367267981
1001573,2020,344.4134909426529
1084722,2018,99.42263889586717
1084722,2019,130.00423892586713
1084722,2020,387.2810443841378
1082497,2018,194.5011914314074
1082497,2019,190.76946740318013
1082497,2020,242.77870898176016
1078223,2018,125.03670145125731
1078223,2019,159.62220027025728
1078223,2020,255.28191528199005
1016127,2018,132.2186687769427
1016127,2019,141.71116845565484
1016127,2020,295.83966491119804
1014333,2018,137.1301314161636
1014333,2019,171.23360876792728
1014333,2020,269.65347589676423
1004446,2018,113.7669963053635
1004446,2019,106.35404700883483
1004446,2020,354.16243282539574
1026429,2018,152.26382676649916
1026429,2019,182.4189025196985
1026429,2020,250.40739620212696
1022667,2018,154.17685297955452
1022667,2019,201.8593649662896
1022667,2020,236.2314072683735
1006343,2018,120.9060581542769
1006343,2019,136.72159363356602
1006343,2020,325.7952306939436
1039827,2018,145.20408507147008
1039827,2019,196.61346193750188
1039827,2020,242.24590571119975
1083705,2018,112.82682075309995
1083705,2019,187.96517434102046
1083705,2020,335.3017180345699
1017105,2018,130.77146945019058
1017105,2019,182.67361682359575
1017105,2020,265.8475616517172
1077552,2018,115.42743187733589
1077552,2019,105.10304614491983
1077552,2020,354.4722534594661
1047704,2018,131.23440403994613
1047704,2019,162.9895321258146
1047704,2020,255.9510683094574
1035772,2018,146.61192213929164
1035772,2019,188.46902687045267
1035772,2020,211.08831473391209
1050242,2018,131.6592385565461
1050242,2019,160.32660405558468
1050242,2020,266.9608738454926
1008632,2018,120.86657479419236
1008632,2019,143.57788982046043
1008632,2020,317.6223887650224
1044234,2018,165.76787937886996
1044234,2019,185.46893450005592
1044234,2020,236.52146081240795
1052943,2018,120.59354433336506
1052943,2019,155.52482145537692
1052943,2020,302.34255750233825
1064271,2018,120.89169674571724
1064271,2019,154.51382157425675
1064271,2020,343.42837674298335
1041022,2018,148.88619794852806
1041022,2019,170.38679489540309
1041022,2020,196.2075335709658
1081182,2018,141.10229362491683
1081182,2019,197.94878570044716
1081182,2020,239.48317447574556
1060174,2018,108.45980700132223
1060174,2019,155.28850457840997
1060174,2020,258.75272841872817
1013735,2018,155.51481431523067
1013735,2019,138.35071117852672
1013735,2020,293.4159480998548
1091604,2018,139.8655497568544
1091604,2019,177.72910607157718
