neighborhood,name,place_id,price_level,rating,user_ratings_total,business_status,adr_address,formatted_address,lat,lng,bin,distance
The Bowery,Max Restaurant,ChIJdU4dUB5awokR1TsplO8Nz_4,2.0,4.3,268,OPERATIONAL,,"134 W Broadway, New York, NY 10013",40.7168895,-74.0083551,1001569,0.0
The Bowery,Upland,ChIJWVD7FadZwokRs_pS6XY7VOU,3.0,4.5,2024,OPERATIONAL,,"345 Park Ave S, New York, NY 10010",40.7419313,-73.984644,1018102,24.413544734232733
The Bowery,Family Meal at Blue Hill,ChIJi9BURJFZwokRDcqvIgxdXds,4.0,4.6,1146,OPERATIONAL,,"75 Washington Pl, New York, NY 10011",40.7320354,-73.9996781,1008898,0.0
The Bowery,Dos Caminos,ChIJGy8Umr9ZwokRVas9YjRxMfo,2.0,4.0,2308,OPERATIONAL,,"675 Hudson St, New York, NY 10014",40.7404331,-74.0054753,1011691,0.0
The Bowery,El Toro mexican grill,ChIJyYO7tBZawokR3caVYcwcX5w,2.0,4.4,301,OPERATIONAL,,"69 New St, New York, NY 10004",40.7056646,-74.0123895,1078979,0.0
The Bowery,Jose Luis Mediterranean Cuisine,ChIJD3o0w4JZwokR-WlDg3eOg0I,2.0,4.8,566,OPERATIONAL,,"186 Avenue B, New York, NY 10009",40.7278642,-73.97941030000001,1005181,0.0
The Bowery,Morton's The Steakhouse,ChIJt7rGmBBawokR6QNt2e9e1kY,4.0,4.4,731,OPERATIONAL,,"136 Washington St, New York, NY 10006",40.7097005,-74.0139538,1001063,0.0
The Bowery,Bocca Cucina and Bar,ChIJxU04KKJZwokRll1-56xgtuc,2.0,4.6,505,OPERATIONAL,,"39 E 19th St, New York, NY 10003",40.7382123,-73.98890829999999,1016167,0.0
The Bowery,Le Zie,ChIJw5ZDfLtZwokRIq-gubtn53c,2.0,4.4,464,OPERATIONAL,,"172 7th Ave between 20th, W 21st St, New York, NY 10011",40.7424925,-73.9970491,1014034,0.0
The Bowery,NOMO Kitchen,ChIJDVWAj4lZwokRiQQKeBiTHcI,3.0,3.9,1077,OPERATIONAL,,"9 Crosby St, New York, NY 10013",40.7197214,-73.9999421,1088790,0.0
The Bowery,Giardino D'Oro,ChIJA7FDxRdawokR60802QyPTbM,3.0,4.5,249,OPERATIONAL,,"5 Gold St, New York, NY 10038",40.7075397,-74.0071775,1001112,26.651623399894323
The Bowery,IL Cortile,ChIJOQ8A1IlZwokRd4ZMRvOMQ3o,2.0,4.3,2007,OPERATIONAL,,"125 Mulberry St #4603, New York, NY 10013",40.7179405,-73.9981924,1002653,0.0
The Bowery,noodlelove,ChIJiXD_SgdZwokRNoX6B7g1ZqA,2.0,4.4,380,OPERATIONAL,,"192 Mott St, New York, NY 10012",40.7209866,-73.9956102,1007158,0.0
The Bowery,Local Bazár,ChIJ60c5xqVZwokRv6aAYl8hT6s,2.0,4.3,839,OPERATIONAL,,"31 W 26th St, New York, NY 10010",40.7444336,-73.9900996,1015636,9.016532256123577
The Bowery,Taverna Di Bacco,ChIJlQFG6INZwokRRiBMK6vm7xw,2.0,4.7,381,OPERATIONAL,,"175 Ludlow St, New York, NY 10002",40.7218822,-73.9875995,1005402,0.0
The Bowery,Cafe Himalaya,ChIJk-Ctm4NZwokRpuORmfL1xKk,1.0,4.7,735,OPERATIONAL,,"78 E 1st St, New York, NY 10009",40.7231767,-73.9879641,1005757,0.0
The Bowery,Lindens,ChIJh-oPySxZwokRBTfrxwTdRo4,2.0,4.8,346,OPERATIONAL,,"2 Renwick St, New York, NY 10013",40.7245348,-74.0084684,1088827,0.0
The Bowery,Nish Nush,ChIJd4zbIRhawokRADDaMwkBe0E,1.0,4.5,989,OPERATIONAL,,"41 John St, New York, NY 10038",40.7093643,-74.0079567,1084390,0.0
The Bowery,Serafina Italian Restaurant Tribeca,ChIJ-0VhGB9awokRksxfZJBvigE,2.0,4.3,1063,OPERATIONAL,,"95 W Broadway, New York, NY 10007",40.7156249,-74.0089397,1001584,0.0
The Bowery,Pio Pio 7,ChIJnXFVDgZZwokRWyjYGSq5K38,2.0,4.4,1134,OPERATIONAL,,"210 E 34th St, New York, NY 10016",40.7453563,-73.97763669999999,1020135,1.658688357222833
The Bowery,TAO Downtown Restaurant,ChIJKaKVI79ZwokRN8WicODOIAw,3.0,4.3,4587,OPERATIONAL,,"92 9th Ave, New York, NY 10011",40.7425376,-74.0038464,1013044,0.0
The Bowery,T.J. Byrnes Bar & Restaurant,ChIJyYiySj1awokRueQwalZ6hmA,2.0,4.3,227,OPERATIONAL,,"77 Fulton St, New York, NY 10038",40.7090939,-74.0046368,1090791,0.0
The Bowery,wagamama,ChIJmw7HvHpZwokR_jQtbm6Zrj0,2.0,4.3,881,OPERATIONAL,,"605 3rd Ave, New York, NY 10158",40.7488776,-73.97544169999999,1082153,0.0
The Bowery,The Tuck Room,ChIJ7epq4zxawokRADBrW_zuoMg,,4.0,446,OPERATIONAL,,"11 Fulton St, New York, NY 10038",40.7066295,-74.0031405,1001318,0.0
