Yr,WktGeom,street,fromSt,toSt,mean,median
2018,POINT (988668.7180346427 209499.47451152268),EAST 26 STREET,Park Avenue South,Lexington Avenue,63.398809523809526,71.0
2018,POINT (988746.2574239874 199794.66244234334),GRAND STREET,Pitt Street,Bialystoker Place,72.83630952380952,32.0
2018,POINT (988752.6081907497 205128.4588063426),1 AVENUE,East 11 Street,East 12 Street,249.24621212121212,264.0
2018,POINT (988865.6832248139 199626.20217782314),EAST BROADWAY,Samuel Dickstein Plaza,Dead end,14.15327380952381,13.0
2018,POINT (988910.7385452996 209482.82561535068),LEXINGTON AVENUE,East 26 Street,East 27 Street,209.62026515151516,235.0
2018,POINT (988928.549863868 221357.9572101412),WEST 66 STREET,Broadway,Amsterdam Avenue,68.3891369047619,82.0
2018,POINT (988940.4909391093 225328.60710706064),WEST 79 STREET,Henry Hudson Pkwy Nb Et 10 A,Henry Hudson Parkway Et 10 Nb,92.69047619047619,90.0
2018,POINT (988950.4505421796 199956.01414145826),BIALYSTOKER PLACE,Broome Street,Grand Street,34.270833333333336,36.0
2018,POINT (989017.1939969248 210189.20068801672),EAST 29 STREET,Lexington Avenue,Park Avenue South,54.444940476190474,58.0
2018,POINT (989126.4298885887 215143.55482538644),AVENUE OF THE AMERICAS,6 Avenue Line,6 Avenue Line,357.75925925925924,393.0
2018,POINT (989127.0804880932 201447.63825339376),STANTON STREET,Ridge Street,Pitt Street,29.180059523809526,30.0
2018,POINT (989129.2853578071 222583.9990541349),AMSTERDAM AVENUE,West 70 Street,West 71 Street,138.74032738095238,157.0
2018,POINT (989168.0597343462 213999.66098539755),WEST 42 STREET,42 Street Shuttle Line,42 Street Shuttle Line,114.01522435897436,126.0
2018,POINT (989174.5137162311 219552.20031569348),BROADWAY,West 60 Street,West 61 Street,116.39757709251101,134.0
2018,POINT (989178.7082356596 199635.91430171402),GRAND STREET,East Broadway,Abraham Kazan Street,73.03422619047619,45.0
2018,POINT (989238.0492968379 204562.99006949618),AVENUE A,East 10 Street,East 11 Street,54.46279761904762,52.0
2018,POINT (989240.5218932994 219543.0729387783),BROADWAY,West 60 Street,West 61 Street,102.42754820936639,110.0
2018,POINT (989262.6756214766 225151.33509531562),WEST 79 STREET,West End Avenue,Henry Hudson Pkwy Nb Et 10 A,111.16145833333333,127.0
2018,POINT (989274.1301024889 199462.01953990335),HENRY STREET,Gouverneur Street,Grand Street,3.7083333333333335,2.0
2018,POINT (989413.4016435166 219596.70707753344),WEST 61 STREET,Broadway,8 Avenue Line,20.267113095238095,21.0
2018,POINT (989423.2427081679 219396.84148277008),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,125.17896475770925,142.0
2018,POINT (989460.3739404293 219462.53732001665),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,145.27678571428572,162.0
2018,POINT (989471.0203960466 209937.2745157726),EAST 29 STREET,3 Avenue,Lexington Avenue,65.18452380952381,69.0
2018,POINT (989479.9312840103 222547.68543479074),WEST 71 STREET,Columbus Avenue,Broadway,22.156994047619047,23.0
2018,POINT (989544.8369747453 219613.63868781208),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,121.50462962962963,138.0
2018,POINT (989556.8046668891 202080.52442960616),AVENUE C,East 2 Street,East 3 Street,46.685267857142854,50.0
2018,POINT (989581.5553835437 203096.49153830775),EAST 6 STREET,Avenue B,Dead end,31.94047619047619,34.5
2018,POINT (989616.236320094 224953.41092611305),WEST 79 STREET,Broadway,West End Avenue,90.49776785714286,105.5
2018,POINT (989674.5464929782 199448.65152196083),GRAND STREET,Henry Street,Lewis Street,57.301339285714285,42.0
2018,POINT (989710.359931237 208920.18641984835),EAST 26 STREET,3 Avenue,Dead end,47.944940476190474,54.0
2018,POINT (989773.9177821055 199281.9504623946),MADISON STREET,Jackson Street,Grand Street,11.533482142857142,3.0
2018,POINT (989793.039637961 220063.1940213208),CENTRAL PARK WEST,8 Avenue Line,8 Avenue Line,50.710565476190474,58.0
2018,POINT (989823.9245748344 218792.52200346193),CENTRAL PARK SOUTH,63 Street Line,Columbus Circle,137.28645833333334,148.0
2018,POINT (989833.1902966246 220259.11481368123),WEST 64 STREET,Broadway,8 Avenue Line,22.395833333333332,24.0
2018,POINT (989956.3318417683 220489.6332735532),WEST 65 STREET,Broadway,65 St Transverse,119.4858630952381,138.0
2018,POINT (989961.0680144979 220364.50771822716),8 AVENUE LINE,Central Park West,65 St Transverse,192.85044642857142,214.0
2018,POINT (989976.5297417757 224751.35663423853),WEST 79 STREET,Amsterdam Avenue,Broadway,70.76636904761905,80.0
2018,POINT (989990.2534415404 204402.10754309216),AVENUE B,East 11 Street,East 12 Street,30.48721590909091,30.0
2018,POINT (989994.7546168126 218573.506691107),7 AVENUE,63 Street Line,63 Street Line,133.9561011904762,149.5
2018,POINT (990090.2096326848 218746.01244480404),C P 7 AVENUE APPROACH,63 Street Line,63 Street Line,0.8236914600550964,0.0
2018,POINT (990137.47219727 199262.1399091366),GRAND STREET,Dead End,Dead end,59.97470238095238,33.0
2018,POINT (990214.5207306312 220641.17357559456),65 ST TRANSVERSE,Dead end,Dead End,151.02529761904762,173.0
